arbol;cuadrante;sp;x;y;dbh;H
2980;16;Pinus pinea;11.3301867;-4.577692572;24.55;7.8
2981;16;Quercus faginea;12.12708778;-7.577845479;9.05;3.7
2982;16;Quercus faginea;15.69629468;-4.205809483;11.6;5.9
2983;16;Pinus pinea;13.05564154;2.537759639;16.15;6.2
2984;16;Quercus ilex;13.54023834;6.31391683;7.85;2.9
2985;16;Pinus pinea;-1.075120923;-2.661017663;36.5;10.9
2986;16;Pinus pinea;0.823836761;-6.709611985;9.55;4
2987;16;Pinus pinea;-2.487586805;-7.656004956;37.75;10.4
2988;16;Quercus faginea;-4.999872144;-9.403391864;7.9;3.4
2989;16;Quercus faginea;-3.494087508;-9.102409158;7.4;3.7
2990;16;Quercus faginea;2.774540164;-10.35472486;13.1;6.1
2991;16;Quercus ilex;-0.58668607;-11.19463709;10.1;4.7
2992;16;Quercus faginea;2.661170973;-11.52679787;11.7;4.1
2993;16;Pinus pinea;7.31641444;-15.00087263;19.55;6.7
2994;16;Quercus ilex;5.68371568;-14.80658556;11.5;4.9
2995;16;Pinus pinea;1.141913475;-16.3301235;25.9;9.4
2996;16;Pinus pinea;2.498157162;-17.77531183;31.2;9.5
2997;16;Quercus ilex;-4.8493908;3.92695924;6.95;4.2
2998;16;Pinus pinea;-13.25250234;3.550997299;27.7;10.1
2999;16;Pinus pinea;-15.26144625;6.166024528;18.6;7.2
